n_leaves,n_colors,n_edges,max_cross_pairs,non_edges,non_edge_ratio,mean_out_degree,std_out_degree,max_out_degree,mean_in_degree,std_in_degree,max_in_degree,n_isolated_leaves,max_color_class_size,mean_color_class_size,std_color_class_size,n_singleton_colors,n_reciprocal_edges,reciprocal_ratio,density,reciprocity,n_nontrivial_scc,n_base_cherry_nodes,n_extension_edges,n_chain_nodes,has_chain,max_chain_length,extension_edges_per_cherry,n_false_positive_edges,n_false_negative_edges,num_species,num_hybridizations,mismatch
3,3,6,6,0,0.0,2.0,0.0,2,2.0,0.0,2,0,1,1.0,0.0,3,3,0.5,1.0,1.0,1,3,0,0,False,0,0.0,0,0,3,2,False
17,5,135,206,71,0.3446601941747573,7.9411764705882355,1.211250604822,10,7.9411764705882355,5.417516125389765,16,0,7,3.4,2.2449944320643644,2,50,0.37037037037037035,0.4963235294117647,0.7407407407407407,1,103,71,7,True,2,0.6893203883495146,0,0,5,6,False
14,7,139,164,25,0.1524390243902439,9.928571428571429,1.386891988496257,12,9.928571428571429,2.6849923041732144,13,0,3,2.0,0.7559289460184544,2,63,0.45323741007194246,0.7637362637362637,0.9064748201438849,1,82,25,1,True,2,0.3048780487804878,0,0,7,3,False
11,10,108,108,0,0.0,9.818181818181818,0.385694607919935,10,9.818181818181818,0.385694607919935,10,0,2,1.1,0.3,9,54,0.5,0.9818181818181818,1.0,1,54,0,0,False,0,0.0,0,0,10,1,False
4,4,12,12,0,0.0,3.0,0.0,3,3.0,0.0,3,0,1,1.0,0.0,4,6,0.5,1.0,1.0,1,6,0,0,False,0,0.0,0,0,4,1,False
23,10,348,460,112,0.24347826086956523,15.130434782608695,3.60319119219142,22,15.130434782608695,5.589620410430677,22,0,4,2.3,1.2688577540449522,4,144,0.41379310344827586,0.6877470355731226,0.8275862068965517,1,230,112,8,True,2,0.48695652173913045,0,0,10,3,False
11,7,83,98,15,0.15306122448979592,7.545454545454546,1.8763424945954814,10,7.545454545454546,2.2709083630539633,10,0,3,1.5714285714285714,0.9035079029052513,5,39,0.46987951807228917,0.7545454545454545,0.9397590361445783,1,49,15,1,True,2,0.30612244897959184,0,0,7,4,False
7,5,31,38,7,0.18421052631578946,4.428571428571429,0.7284313590846836,6,4.428571428571429,1.9166296949998198,6,0,2,1.4,0.4898979485566356,3,12,0.3870967741935484,0.7380952380952381,0.7741935483870968,1,19,7,1,True,2,0.3684210526315789,0,0,5,3,False
11,5,80,92,12,0.13043478260869565,7.2727272727272725,1.2128785512842122,9,7.2727272727272725,1.9582417480489107,10,0,4,2.2,0.9797958971132712,1,38,0.475,0.7272727272727273,0.95,1,46,12,0,False,1,0.2608695652173913,0,0,5,5,False
6,6,30,30,0,0.0,5.0,0.0,5,5.0,0.0,5,0,1,1.0,0.0,6,15,0.5,1.0,1.0,1,15,0,0,False,0,0.0,0,0,6,4,False
13,6,93,140,47,0.3357142857142857,7.153846153846154,1.2917581249035897,10,7.153846153846154,2.9831876045638945,10,0,3,2.1666666666666665,0.3726779962499649,0,33,0.3548387096774194,0.5961538461538461,0.7096774193548387,1,70,47,6,True,2,0.6714285714285714,0,0,6,6,False
7,6,40,40,0,0.0,5.714285714285714,0.4517539514526256,6,5.714285714285714,0.4517539514526256,6,0,2,1.1666666666666667,0.3726779962499649,5,20,0.5,0.9523809523809523,1.0,1,20,0,0,False,0,0.0,0,0,6,1,False
22,8,243,418,175,0.41866028708133973,11.045454545454545,2.8520689894638167,16,11.045454545454545,4.809812628435869,18,0,4,2.75,0.82915619758885,0,101,0.4156378600823045,0.525974025974026,0.831275720164609,2,209,175,17,True,2,0.8373205741626795,2,0,8,6,True
